filename,word,pinyin,example,meaning
126_1.mp3,"止","zhǐ","又一大儿醒，絮絮不止","停止"
126_2.mp3,"止","zhǐ","河曲智叟笑而止之曰","制止，阻止"
126_3.mp3,"止","zhǐ","担中肉尽，止有剩骨","只是，仅仅"
127_1.mp3,"志","zhì","寻向所志，遂迷，不复得路","标记，记号"
127_2.mp3,"志","zhì","便扶向路，处处志之","做标记，做记号"
127_3.mp3,"志","zhì","恢弘志士之气","志向，心意"
128_1.mp3,"致","zhì","家贫，无以致书以观","取得，得到"
129_1.mp3,"质","zhì","余立侍左右，援疑质理","询问"
129_2.mp3,"质","zhì","非天质之卑","资质"
130_1.mp3,"专","zhuān","衣食所安，弗敢专也，必以分人","独有，独占，专享"
130_2.mp3,"专","zhuān","则心不若余之专耳","专门，专一"
131_1.mp3,"走","zǒu","两股战战，几欲先走","跑，逃跑"
131_2.mp3,"走","zǒu","无奔走之劳矣","奔向，趋向"
132_1.mp3,"足","zú","细若蚊足，勾画了了","脚"
132_2.mp3,"足","zú","吾一瓶一钵足矣","足够，充足"
132_3.mp3,"足","zú","不足为外人道也","值得，够得上"
133_1.mp3,"卒","zú","故余虽愚，卒获有所闻","最后，终于"
134_1.mp3,"作","zuò","困于心，衡于虑，而后作","振作，奋发"
134_2.mp3,"作","zuò","火爆声，呼呼风声，百千齐作","发出，出现"
134_3.mp3,"作","zuò","自是指物作诗，立就","写作，创作"
135_1.mp3,"坐","zuò","口技人坐屏障中","坐着，坐下"
135_2.mp3,"坐","zuò","满坐寂然，无敢哗者","座位"
135_3.mp3,"坐","zuò","王曰：何坐？曰：坐盗。","犯…罪，获罪"
136_1.mp3,"卑鄙","bēi bǐ","先帝不以臣卑鄙","社会地位低微，见识短浅"
137_1.mp3,"布衣","bù yī","臣本布衣，躬耕于南阳","平民百姓"
138_1.mp3,"菲薄","fěi bó","不宜妄自菲薄，引喻失义","轻视，小看"
139_1.mp3,"其实","qí shí","叶徒相似，其实味不同","其，它的。实，果实"
140_1.mp3,"亲戚","qīn qī","寡助之至，亲戚畔之","亲属。亲，指族内；戚，指族外"
141_1.mp3,"驱驰","qū chí","由是感激，遂许先帝以驱驰","奔走效劳"
141_2.mp3,"驱驰","qū chí","将军约，军中不得驱驰","策马快奔"
142_1.mp3,"无论","wú lùn","乃不知有汉，无论魏晋","不要说，更不必说"
143_1.mp3,"牺牲","xī shēng","牺牲玉帛，弗敢加也，必以信","指祭祀用的纯色全体牲畜"
144_1.mp3,"鸿儒","hóng rú","谈笑有鸿儒，往来无白丁","学问渊博的读书人"
145_1.mp3,"白丁","bái dīng","谈笑有鸿儒，往来无白丁","平民，此指无学问的人"
146_1.mp3,"阡陌","qiān mò","阡陌交通，鸡犬相闻","田间小路"
147_1.mp3,"交通","jiāo tōng","阡陌交通，鸡犬相闻","彼此交错相通"
148_1.mp3,"问津","wèn jīn","后遂无问津者","问路，探访"
149_1.mp3,"绝境","jué jìng","率妻子邑人来此绝境","与世隔绝的地方"
150_1.mp3,"妻子","qī zǐ","率妻子邑人来此绝境","妻子儿女"
